file,subject,N,frames,down,up,eq,empty,total_drop,total_fill
Jalan16.csv,G,64,236,53,183,0,0,911,6029
Jalan17.csv,G,64,214,59,152,3,0,1035,4461
Jalan18.csv,G,64,191,94,94,3,0,2708,2592
Jalan19.csv,G,64,231,24,205,2,0,478,7856
Jalan2.csv,G,64,101,51,50,0,0,1812,1319
Jalan20.csv,G,64,196,27,167,2,0,368,5828
Jalan21.csv,G,64,174,49,122,3,0,1078,3636
Jalan22.csv,G,64,155,77,77,1,0,2320,2094
Jalan23.csv,G,64,387,56,330,1,0,814,11637
Jalan24.csv,G,64,376,102,272,2,0,3039,8399
Jalan25.csv,G,64,64,10,53,1,0,138,1504
Jalan26.csv,G,64,77,41,36,0,0,1279,818
Jalan27.csv,G,64,67,20,46,1,0,732,1191
Jalan28.csv,G,64,43,0,43,0,0,0,2346
Jalan29.csv,G,64,57,0,57,0,0,0,2658
Jalan3.csv,G,64,97,29,67,1,0,696,1949
Jalan30.csv,G,64,70,7,61,2,0,46,2139
Jalan31.csv,G,64,59,18,40,1,0,421,974
Jalan32.csv,G,64,63,20,43,0,0,380,1580
Jalan33.csv,G,64,64,19,44,1,0,580,1604
Jalan34.csv,G,64,59,14,45,0,0,282,1484
Jalan35.csv,G,64,65,18,46,1,0,188,1290
Jalan36.csv,G,64,90,20,70,0,0,426,2473
Jalan37.csv,G,64,85,26,59,0,0,499,1570
Jalan38.csv,G,64,72,18,53,1,0,201,1706
Jalan39.csv,G,64,185,40,145,0,0,621,5417
Jalan4.csv,G,64,49,0,49,0,0,0,2768
Jalan40.csv,G,64,179,42,136,1,0,1031,4947
Jalan41.csv,G,64,169,64,104,1,0,1644,3138
Jalan42.csv,G,64,147,76,70,1,0,2617,2070
Jalan43.csv,G,64,171,37,134,0,0,646,5077
Jalan44.csv,G,64,176,42,132,2,0,596,4851
Jalan45.csv,G,64,149,51,95,3,0,1240,2189
Jalan46.csv,G,64,102,52,47,3,0,1401,1184
Jalan47.csv,G,64,296,53,242,1,0,812,7560
Jalan48.csv,G,64,311,92,215,4,0,2509,6747
Jalan49.csv,G,64,92,17,74,1,0,416,2124
Jalan5.csv,G,64,77,0,77,0,0,0,3475
Jalan50.csv,G,64,109,54,55,0,0,1931,1398
